state,temp,humidity,wind,rainfall
Gujarat,24.440599409765397,64.78353277034076,13.116165168800551,96.13084232671669
Kerala,27.65262807032524,68.13840065378947,10.146329228750151,87.89119851538238
Gujarat,30.111109133059916,53.58310629594982,9.87273035912709,75.21870799621813
Gujarat,26.483280991462962,27.90569015885641,9.482100156302996,49.861043308594354
Gujarat,27.278086377374088,61.663838845647994,7.396025690310789,89.17382227982812
Karnataka,26.99873074947044,74.21159731569958,13.164136005048729,92.2484439493137
Gujarat,29.93251387631033,44.13433606566149,15.290179648412757,51.13196982271491
Karnataka,23.110303480887588,54.703250219893974,10.154137127303267,74.81938365121182
Karnataka,31.093191580269313,73.22641558422916,7.963658628539569,85.1962547672789
Karnataka,41.70373167051523,76.06477780526053,12.385665916121035,112.60492048271037
Rajasthan,31.620419846973974,54.22376579375525,9.292311998776166,84.20779816476912
Kerala,33.181525541725854,46.399189971301055,13.904170349707886,81.13515231549766
Karnataka,25.803912383886807,55.36181436223178,13.325053725614255,85.09406858016085
Karnataka,28.771261562864797,48.45498339500838,16.848689368532504,79.81197209031328
Gujarat,34.17397709615214,64.44842076493455,7.848680493938072,91.31245186753424
Kerala,31.80697802754207,83.07054849698955,11.856695843560194,127.67757501523049
Maharashtra,26.925621202913447,64.99338660733395,6.47713190291099,86.70367204411663
Maharashtra,30.45880388267751,30.186466280986608,11.121312448649952,51.68789345904517
Rajasthan,22.90701768492221,62.85505477447751,12.543015317905946,89.19756659647194
Kerala,32.50724165762403,77.37279979398042,13.028467480225117,108.3375692961527
Gujarat,34.81320644999851,56.85461344744503,8.903828277013984,79.36320942590923
Maharashtra,26.489734530613237,55.085067801033475,10.43156738747137,61.58232892898419
Gujarat,23.253050133834954,44.71390821947895,12.508048957487194,49.03636301504679
Rajasthan,24.51867102359322,73.72326482889018,9.335757519078285,92.78865113565887
Maharashtra,26.686308433108934,57.80290789887576,8.615931934177176,71.89697042715159
Karnataka,26.20836439740879,66.86123473078715,11.742487796796132,93.26394088705742
Rajasthan,36.18508036468231,38.60281672911671,13.352090635500566,80.15600503616591
Karnataka,35.7141140725751,71.27899549030161,15.164127788172188,89.74873874025045
Rajasthan,37.02602652939094,80.88488630237855,8.477436725880922,113.80059529563117
Maharashtra,30.14049731674101,42.043694049925456,15.158691219002689,65.28996878521066
Gujarat,22.246682844669337,61.02844462209041,7.7507851450955805,86.76816373166629
Maharashtra,32.14006420494714,22.954517023986043,13.927916556011578,48.70164115065657
Maharashtra,28.21627487115903,68.34182697800948,16.175442443674633,96.53017868943546
Maharashtra,21.447352107374847,61.78467737843978,16.00194243104842,81.58891480109322
Maharashtra,34.82405291164218,44.02753270705491,12.434847198509543,67.57224801501171
Maharashtra,26.599876392107547,63.48380545741505,13.172289893194725,78.38530359672973
Rajasthan,25.073091014371563,43.590893863972894,0.4821724261104965,56.669189765993636
Rajasthan,33.67250532440023,45.682541070578694,8.995282301344286,57.65243672528596
Gujarat,36.71584106148389,48.981785250787105,8.160421471544375,85.73721857472465
Gujarat,41.36672579008741,62.20461975685824,14.158436806334663,76.09841918765389
Rajasthan,34.55256109247334,59.55411963468915,4.254495160061599,78.99130027871874
Maharashtra,28.67671583381022,100.80253749884429,14.502669391060024,122.37902653403742
Kerala,37.39924387599277,65.95161421906694,4.866995751337905,93.95011567140519
Kerala,33.03064681549542,30.836556093756005,13.34559505514501,50.021810312863074
Gujarat,25.766031409657977,37.27729162971203,10.213940191731915,63.11557154619857
Karnataka,33.55054620181977,61.387183073266456,14.52029975440403,103.7131775855407
